@relation adult-modded-weka.filters.supervised.instance.Resample-B0.0-S1-Z10.0

@attribute age numeric
@attribute workclass {Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked}
@attribute fnlwgt numeric
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute class {>50K,<=50K}

@data
48,Self-emp-inc,148995,13,Divorced,Sales,Not-in-family,White,Male,0,0,60,>50K
58,Private,200316,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,<=50K
25,Private,164488,12,Never-married,Exec-managerial,Own-child,White,Male,0,0,45,<=50K
23,?,281668,6,Never-married,?,Own-child,Black,Female,0,0,40,<=50K
22,Private,309178,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,<=50K
38,Self-emp-not-inc,239045,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,>50K
18,Private,92112,9,Never-married,Other-service,Own-child,White,Female,0,0,30,<=50K
45,Private,330087,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
39,Private,75995,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,<=50K
72,Federal-gov,217864,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,>50K
52,Private,114228,9,Divorced,Craft-repair,Not-in-family,White,Male,3325,0,40,<=50K
32,Private,152109,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,<=50K
57,Self-emp-not-inc,115422,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3137,0,40,<=50K
39,Private,75995,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,<=50K
49,Private,34545,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,40,>50K
27,Private,189775,9,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,<=50K
45,State-gov,86618,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,50,>50K
35,Private,168322,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,<=50K
41,Local-gov,133692,13,Divorced,Protective-serv,Unmarried,White,Female,0,0,40,<=50K
50,Self-emp-inc,194514,14,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,50,<=50K
33,Private,309630,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,<=50K
55,Private,31905,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,>50K
28,Private,163772,9,Married-civ-spouse,Other-service,Husband,Other,Male,0,0,40,<=50K
30,Private,142675,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,<=50K
34,Private,75454,8,Divorced,Other-service,Unmarried,Black,Female,0,0,40,<=50K
45,Private,331643,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,>50K
26,Private,163747,13,Never-married,Sales,Not-in-family,White,Female,0,0,55,<=50K
21,Private,154835,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,40,<=50K
26,Federal-gov,345157,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,<=50K
37,Local-gov,212005,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,>50K
34,Private,127651,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,>50K
43,Private,55395,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
51,Self-emp-not-inc,218311,10,Divorced,Sales,Unmarried,White,Female,0,0,50,<=50K
31,Federal-gov,148207,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,53,<=50K
56,Private,435022,10,Divorced,Other-service,Not-in-family,White,Female,0,0,50,<=50K
35,Self-emp-not-inc,108808,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,<=50K
18,?,220168,10,Never-married,?,Own-child,White,Male,0,0,16,<=50K
76,Private,199949,5,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,13,<=50K
36,Self-emp-not-inc,138940,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,50,>50K
23,Private,177526,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,<=50K
43,Private,173728,13,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,<=50K
37,Private,102953,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
49,Self-emp-inc,362795,14,Divorced,Prof-specialty,Unmarried,White,Male,99999,0,80,>50K
22,?,117618,13,Never-married,?,Not-in-family,White,Male,0,0,25,<=50K
23,Private,182117,12,Never-married,Other-service,Own-child,White,Male,0,0,60,<=50K
37,Private,248919,2,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,66,<=50K
32,Private,167990,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,<=50K
53,Local-gov,86600,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,<=50K
21,Private,296158,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,<=50K
40,Private,237671,10,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,>50K
57,Self-emp-not-inc,115422,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3137,0,40,<=50K
17,Private,138293,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,15,<=50K
55,Private,195329,9,Widowed,Other-service,Not-in-family,White,Female,2202,0,35,<=50K
25,Private,236421,8,Never-married,Other-service,Own-child,Black,Male,0,0,40,<=50K
21,Private,142809,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,<=50K
37,Private,635913,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,60,>50K
69,?,167826,13,Married-civ-spouse,?,Husband,White,Male,0,0,40,<=50K
34,Private,80058,15,Never-married,Exec-managerial,Own-child,White,Male,0,0,50,<=50K
34,Private,182006,7,Never-married,Adm-clerical,Not-in-family,White,Female,4416,0,30,<=50K
69,Private,137109,6,Divorced,Other-service,Not-in-family,White,Female,0,0,16,<=50K
29,Self-emp-not-inc,69132,15,Divorced,Prof-specialty,Not-in-family,White,Male,99999,0,60,>50K
39,Private,201410,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1977,45,>50K
26,Private,29488,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,>50K
28,Local-gov,157437,13,Never-married,Protective-serv,Not-in-family,White,Female,4650,0,48,<=50K
23,Private,182117,12,Never-married,Other-service,Own-child,White,Male,0,0,60,<=50K
46,Private,228372,13,Divorced,Sales,Unmarried,White,Male,0,0,40,>50K
46,Private,155659,10,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,45,>50K
42,Local-gov,194417,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,>50K
20,Private,218962,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,<=50K
35,Private,240467,9,Married-spouse-absent,Adm-clerical,Unmarried,Black,Female,0,0,40,<=50K
27,Private,37359,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,<=50K
81,?,143732,2,Widowed,?,Not-in-family,White,Male,0,0,30,<=50K
34,Private,191291,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,<=50K
47,Private,139268,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,<=50K
27,Private,163127,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,<=50K
