Unpruned	ReducedError	PruneConfidence	MinInstancesPerLeaf	trainPctCorrect	testPctCorrect	trainTime	testTime
true	false	0.25	1	100.00	93.29	1.68	0.01
true	false	0.25	2	100.00	93.29	1.68	0.01
true	false	0.25	3	100.00	93.28	1.74	0.01
true	false	0.25	4	100.00	93.71	1.59	0.01
true	false	0.25	5	100.00	93.00	1.08	0.01
true	false	0.25	6	100.00	93.39	1.02	0.01
true	false	0.25	7	100.00	93.36	0.98	0.00
true	false	0.25	8	100.00	93.39	0.96	0.00
true	false	0.25	9	100.00	93.18	0.95	0.00
true	false	0.25	10	99.99	93.21	0.93	0.01
true	false	0.25	11	99.96	93.49	0.94	0.00
true	false	0.25	12	99.93	93.59	0.93	0.00
true	false	0.25	13	99.82	93.48	0.89	0.00
true	false	0.25	14	99.71	93.17	0.88	0.00
true	false	0.25	15	99.54	93.24	0.88	0.00
true	false	0.25	16	99.42	92.97	0.87	0.00
true	false	0.25	17	99.12	92.67	0.84	0.00
true	false	0.25	18	98.91	92.39	0.85	0.00
true	false	0.25	19	98.68	92.29	0.83	0.00
true	false	0.25	20	98.40	91.90	0.85	0.00
true	false	0.25	21	98.21	92.17	0.80	0.00
true	false	0.25	22	97.86	91.47	0.80	0.00
true	false	0.25	23	97.66	91.20	0.79	0.00
true	false	0.25	24	97.49	91.31	0.80	0.00
true	false	0.25	25	97.18	90.96	0.79	0.00
false	true	0.25	2	96.00	90.51	0.77	0.00
false	false	0.05	1	100.00	93.12	1.77	0.00
false	false	0.05	2	100.00	93.00	1.67	0.00
false	false	0.05	3	100.00	93.35	1.65	0.00
false	false	0.05	4	100.00	93.07	1.57	0.00
false	false	0.05	5	100.00	92.85	1.47	0.00
false	false	0.05	6	100.00	93.29	1.43	0.00
false	false	0.05	7	99.98	93.35	1.38	0.00
false	false	0.05	8	99.92	93.29	1.39	0.00
false	false	0.05	9	99.87	93.32	1.34	0.00
false	false	0.05	10	99.69	93.05	1.30	0.00
false	false	0.05	11	99.46	93.29	1.29	0.00
false	false	0.05	12	99.15	92.71	1.24	0.00
false	false	0.05	13	98.89	92.80	1.23	0.00
false	false	0.05	14	98.56	92.83	1.22	0.00
false	false	0.05	15	98.27	92.13	1.16	0.00
false	false	0.05	16	97.99	92.10	1.23	0.00
false	false	0.05	17	97.85	91.73	1.20	0.00
false	false	0.05	18	97.43	91.47	1.19	0.00
false	false	0.05	19	97.17	91.52	1.17	0.00
false	false	0.05	20	96.77	91.04	1.19	0.00
false	false	0.05	21	96.63	91.23	1.15	0.00
false	false	0.05	22	96.29	90.71	1.13	0.00
false	false	0.05	23	96.10	90.71	1.14	0.00
false	false	0.05	24	95.77	90.94	1.12	0.00
false	false	0.1	1	100.00	93.18	1.72	0.00
