@relation adult-modded

@attribute age numeric
@attribute workclass {Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked}
@attribute fnlwgt numeric
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute class {>50K,<=50K}

@data
29,Local-gov,175262,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,35,<=50K
63,Private,64544,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,>50K
43,?,109912,13,Married-civ-spouse,?,Wife,White,Female,0,0,7,>50K
32,Private,80945,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,>50K
32,Private,258406,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,<=50K
51,Federal-gov,68898,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,>50K
25,Private,106889,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,<=50K
62,Private,115771,11,Widowed,Sales,Unmarried,White,Female,0,0,33,<=50K
24,Private,113515,9,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,<=50K
29,Private,261725,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,<=50K
18,Private,276540,8,Never-married,Sales,Own-child,Black,Female,0,0,15,<=50K
51,Private,276214,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,<=50K
29,State-gov,191355,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,<=50K
36,Self-emp-inc,298624,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,30,>50K
