Momentum	Rate	Nodes	Iterations	trainPctCorrect	testPctCorrect	trainTime	testTime
0.2	0.3	2	211	33.83	33.83	9.71	0.00
0.2	0.3	4	218	77.94	77.94	11.86	0.00
0.2	0.3	8	210	88.47	88.47	14.82	0.00
0.2	0.3	16	205	91.23	91.23	21.87	0.00
0.2	0.3	32	207	91.73	91.73	37.29	0.00
0.2	0.3	64	208	94.24	94.24	71.06	0.00
0.2	0.3	128	205	93.23	93.23	168.03	0.00
0.2	0.3	a	207	93.73	93.73	241.85	0.00
0.2	0.4	2	207	23.56	23.56	10.31	0.00
0.2	0.4	4	216	76.19	76.19	11.80	0.00
0.2	0.4	8	212	89.47	89.47	15.47	0.00
0.2	0.4	16	206	90.73	90.73	22.52	0.00
0.2	0.4	32	205	90.98	90.98	41.10	0.00
0.2	0.4	64	207	93.98	93.98	80.29	0.00
0.2	0.4	128	205	93.23	93.23	148.24	0.00
0.2	0.4	a	205	93.48	93.48	210.15	0.00
0.3	0.3	2	207	23.56	23.56	9.20	0.00
0.3	0.3	4	212	78.45	78.45	11.49	0.00
0.3	0.3	8	207	87.72	87.72	14.58	0.00
0.3	0.3	16	208	90.23	90.23	25.95	0.00
0.3	0.3	32	205	91.23	91.23	49.18	0.00
0.3	0.3	64	208	94.24	94.24	73.89	0.00
0.3	0.3	128	206	93.98	93.98	175.18	0.00
0.3	0.3	a	207	93.73	93.73	158.12	0.00
0.3	0.4	2	208	30.83	30.83	9.35	0.00
0.3	0.4	4	218	77.44	77.44	13.18	0.00
0.3	0.4	8	210	87.72	87.72	15.60	0.00
0.3	0.4	16	205	90.73	90.73	22.31	0.00
0.3	0.4	32	204	91.48	91.48	37.15	0.00
0.3	0.4	64	207	93.23	93.23	73.14	0.00
0.3	0.4	128	205	92.98	92.98	162.10	0.00
0.3	0.4	a	206	93.48	93.48	157.12	0.00
0.4	0.3	2	205	25.81	25.81	8.97	0.00
0.4	0.3	4	210	73.43	73.43	11.24	0.00
0.4	0.3	8	208	88.47	88.47	14.62	0.00
0.4	0.3	16	208	89.97	89.97	33.13	0.00
0.4	0.3	32	206	91.48	91.48	37.96	0.00
0.4	0.3	64	209	93.98	93.98	72.56	0.00
0.4	0.3	128	206	93.73	93.73	154.09	0.00
0.4	0.3	a	208	93.23	93.23	167.64	0.00
0.4	0.4	2	210	31.33	31.33	9.21	0.00
0.4	0.4	4	210	77.94	77.94	11.07	0.00
0.4	0.4	8	208	83.71	83.71	14.54	0.00
0.4	0.4	16	207	90.98	90.98	21.90	0.00
0.4	0.4	32	210	91.73	91.73	38.29	0.00
0.4	0.4	64	205	93.23	93.23	75.86	0.00
0.4	0.4	128	205	93.73	93.73	173.54	0.00
0.4	0.4	a	207	93.73	93.73	155.42	0.00
0.5	0.3	2	213	31.83	31.83	9.39	0.00
0.5	0.3	4	209	79.45	79.45	11.06	0.00
0.5	0.3	8	212	88.97	88.97	21.99	0.00
0.5	0.3	16	209	91.23	91.23	36.26	0.00
0.5	0.3	32	205	91.73	91.73	63.56	0.00
0.5	0.3	64	205	92.98	92.98	125.17	0.00
0.5	0.3	128	205	93.48	93.48	173.01	0.00
0.5	0.3	a	206	93.73	93.73	152.61	0.00
0.5	0.4	2	204	24.31	24.31	8.66	0.00
0.5	0.4	4	217	81.20	81.20	11.60	0.00
0.5	0.4	8	215	87.47	87.47	15.26	0.00
0.5	0.4	16	205	90.98	90.98	28.47	0.00
0.5	0.4	32	205	91.98	91.98	51.31	0.00
0.5	0.4	64	209	93.48	93.48	69.57	0.00
0.5	0.4	128	206	93.23	93.23	143.52	0.00
0.5	0.4	a	209	93.48	93.48	160.39	0.00
