Momentum	Rate	Nodes	Iterations	trainPctCorrect	testPctCorrect	trainTime	testTime
0.2	0.3	2	254	84.09	83.63	8.46	0.00
0.2	0.3	4	481	85.46	84.83	15.47	0.00
0.2	0.3	8	413	86.17	84.29	30.97	0.00
0.2	0.3	16	562	88.49	85.33	87.75	0.00
0.2	0.3	32	835	90.50	86.22	174.38	0.00
0.2	0.3	64	1269	91.88	87.12	434.19	0.00
0.2	0.3	a	1074	89.87	85.88	133.31	0.00
0.2	0.4	2	580	84.72	84.39	11.24	0.00
0.2	0.4	4	344	85.18	84.06	14.91	0.00
0.2	0.4	8	536	86.23	84.09	35.69	0.00
0.2	0.4	16	486	87.35	85.21	50.81	0.00
0.2	0.4	32	594	89.19	85.59	137.70	0.00
0.2	0.4	64	887	90.50	86.09	343.49	0.00
0.2	0.4	a	495	88.53	85.33	118.44	0.00
0.3	0.3	2	522	85.00	84.43	10.50	0.00
0.3	0.3	4	376	85.23	83.91	17.29	0.00
0.3	0.3	8	796	85.90	84.06	30.02	0.00
0.3	0.3	16	323	87.34	84.70	50.80	0.00
0.3	0.3	32	697	89.96	85.72	164.05	0.00
0.3	0.3	64	519	90.23	86.53	280.93	0.00
0.3	0.3	a	908	89.33	85.77	119.69	0.00
0.3	0.4	2	295	85.44	84.58	11.45	0.00
0.3	0.4	4	752	85.62	84.37	21.55	0.00
0.3	0.4	8	283	85.28	84.05	23.68	0.00
0.3	0.4	16	652	86.90	84.51	56.16	0.00
0.3	0.4	32	506	88.83	85.75	132.90	0.00
0.3	0.4	64	2121	90.88	86.52	847.91	0.00
0.3	0.4	a	562	88.16	85.08	309.66	0.00
0.4	0.3	2	484	84.88	84.38	26.35	0.00
0.4	0.3	4	388	84.73	83.93	38.47	0.00
0.4	0.3	8	797	86.06	84.24	104.35	0.00
0.4	0.3	16	1005	88.09	85.02	281.89	0.00
0.4	0.3	32	846	89.79	85.85	502.71	0.00
0.4	0.3	64	820	88.47	85.21	582.26	0.00
0.4	0.3	a	601	88.36	85.61	303.10	0.00
0.4	0.4	2	273	84.21	83.93	18.83	0.00
0.4	0.4	4	325	84.53	83.86	41.53	0.00
0.4	0.4	8	498	85.94	84.44	77.96	0.00
0.4	0.4	16	507	85.70	83.91	124.90	0.00
0.4	0.4	32	935	88.32	85.27	447.14	0.00
0.4	0.4	64	810	90.10	86.44	954.79	0.00
0.4	0.4	a	1003	87.88	85.03	321.04	0.00
0.5	0.3	2	283	84.71	84.37	26.26	0.00
0.5	0.3	4	338	84.79	84.16	51.18	0.00
0.5	0.3	8	318	85.67	84.13	129.98	0.00
0.5	0.3	16	649	88.23	85.24	282.17	0.00
0.5	0.3	32	1073	89.67	85.78	513.55	0.00
0.5	0.3	64	1724	89.71	86.41	1113.45	0.00
0.5	0.3	a	779	88.78	85.38	285.44	0.00
0.5	0.4	2	324	84.78	84.17	26.32	0.00
0.5	0.4	4	512	84.94	84.32	44.87	0.00
0.5	0.4	8	333	85.29	84.20	91.78	0.00
0.5	0.4	16	618	86.30	84.54	138.61	0.00
0.5	0.4	32	984	88.61	85.36	512.34	0.00
0.5	0.4	64	588	84.60	84.41	583.91	0.00
0.5	0.4	a	1001	87.17	84.70	328.63	0.00
