Unpruned	ReducedError	PruneConfidence	MinInstancesPerLeaf	trainPctCorrect	testPctCorrect	trainTime	testTime
true	false	0.25	1	97.61	90.92	0.14	0.00
true	false	0.25	2	95.74	89.62	0.10	0.00
true	false	0.25	3	94.31	88.54	0.09	0.00
true	false	0.25	4	93.02	87.67	0.09	0.00
true	false	0.25	5	92.01	87.50	0.08	0.00
true	false	0.25	6	91.32	87.35	0.07	0.00
true	false	0.25	7	90.74	87.46	0.07	0.00
true	false	0.25	8	90.36	87.20	0.07	0.00
true	false	0.25	9	89.97	86.97	0.06	0.00
true	false	0.25	10	89.61	86.85	0.06	0.00
true	false	0.25	11	89.45	86.78	0.06	0.00
true	false	0.25	12	89.16	86.71	0.06	0.00
true	false	0.25	13	88.84	86.15	0.06	0.00
true	false	0.25	14	88.63	86.15	0.06	0.00
true	false	0.25	15	88.42	85.96	0.06	0.00
true	false	0.25	16	88.30	85.75	0.06	0.00
true	false	0.25	17	88.12	85.72	0.05	0.00
true	false	0.25	18	87.97	85.85	0.05	0.00
true	false	0.25	19	87.87	85.57	0.05	0.00
true	false	0.25	20	87.69	85.25	0.05	0.00
true	false	0.25	21	87.58	85.26	0.05	0.00
true	false	0.25	22	87.34	85.21	0.05	0.00
true	false	0.25	23	87.31	85.10	0.05	0.00
true	false	0.25	24	87.26	85.22	0.05	0.00
true	false	0.25	25	87.19	85.15	0.05	0.00
false	true	0.25	2	90.83	87.30	0.07	0.00
false	false	0.05	1	87.03	86.10	0.13	0.00
false	false	0.05	2	87.02	86.08	0.11	0.00
false	false	0.05	3	86.95	86.02	0.10	0.00
false	false	0.05	4	86.77	85.89	0.09	0.00
false	false	0.05	5	86.49	85.78	0.09	0.00
false	false	0.05	6	86.59	85.97	0.08	0.00
false	false	0.05	7	86.29	85.78	0.08	0.00
false	false	0.05	8	86.08	85.66	0.07	0.00
false	false	0.05	9	86.07	85.66	0.07	0.00
false	false	0.05	10	86.09	85.72	0.07	0.00
false	false	0.05	11	86.09	85.72	0.07	0.00
false	false	0.05	12	86.09	85.68	0.07	0.00
false	false	0.05	13	86.08	85.67	0.07	0.00
false	false	0.05	14	86.07	85.60	0.07	0.00
false	false	0.05	15	86.01	85.52	0.06	0.00
false	false	0.05	16	86.01	85.51	0.07	0.00
false	false	0.05	17	85.99	85.51	0.06	0.00
false	false	0.05	18	85.96	85.50	0.06	0.00
false	false	0.05	19	85.96	85.51	0.06	0.00
false	false	0.05	20	85.88	85.38	0.06	0.00
false	false	0.05	21	85.87	85.34	0.06	0.00
false	false	0.05	22	85.85	85.29	0.06	0.00
false	false	0.05	23	85.85	85.28	0.06	0.00
false	false	0.05	24	85.85	85.28	0.06	0.00
false	false	0.1	1	91.13	88.44	0.14	0.00
false	false	0.1	2	90.70	87.97	0.12	0.00
false	false	0.1	3	90.29	87.53	0.11	0.00
false	false	0.1	4	89.43	87.02	0.10	0.00
false	false	0.1	5	88.83	86.93	0.09	0.00
false	false	0.1	6	88.58	86.96	0.09	0.00
false	false	0.1	7	88.35	86.96	0.08	0.00
false	false	0.1	8	88.20	86.71	0.08	0.00
false	false	0.1	9	87.87	86.69	0.08	0.00
false	false	0.1	10	86.87	86.08	0.07	0.00
false	false	0.1	11	86.83	86.12	0.07	0.00
false	false	0.1	12	86.85	86.14	0.07	0.00
false	false	0.1	13	86.57	85.92	0.07	0.00
false	false	0.1	14	86.54	85.85	0.07	0.00
false	false	0.1	15	86.30	85.75	0.06	0.00
false	false	0.1	16	86.28	85.67	0.06	0.00
false	false	0.1	17	86.23	85.66	0.06	0.00
false	false	0.1	18	85.96	85.50	0.06	0.00
false	false	0.1	19	86.06	85.58	0.06	0.00
false	false	0.1	20	85.88	85.38	0.06	0.00
false	false	0.1	21	86.01	85.46	0.06	0.00
false	false	0.1	22	85.86	85.30	0.06	0.00
false	false	0.1	23	85.86	85.30	0.06	0.00
false	false	0.1	24	85.86	85.30	0.06	0.00
