Unpruned	ReducedError	PruneConfidence	MinInstancesPerLeaf	trainPctCorrect	testPctCorrect	trainTime	testTime
true	false	0.25	1	100.00	74.38	0.21	0.00
true	false	0.25	2	100.00	86.25	0.92	0.00
true	false	0.25	3	100.00	88.13	0.80	0.00
true	false	0.25	4	100.00	85.00	0.76	0.00
true	false	0.25	5	100.00	90.63	0.73	0.00
true	false	0.25	6	100.00	88.13	0.70	0.00
true	false	0.25	7	100.00	89.38	0.69	0.00
true	false	0.25	8	100.00	86.88	0.68	0.00
true	false	0.25	9	100.00	86.25	0.62	0.00
true	false	0.25	10	100.00	88.13	0.62	0.00
true	false	0.25	11	99.93	85.63	0.59	0.00
true	false	0.25	12	99.93	85.00	0.59	0.00
true	false	0.25	13	100.00	86.25	0.57	0.00
true	false	0.25	14	99.86	83.13	0.57	0.00
true	false	0.25	15	99.93	84.38	0.55	0.00
true	false	0.25	16	99.44	83.75	0.54	0.00
true	false	0.25	17	98.19	83.13	0.54	0.00
true	false	0.25	18	98.95	82.50	0.52	0.00
true	false	0.25	19	97.77	85.00	0.53	0.00
true	false	0.25	20	97.28	86.25	0.51	0.00
true	false	0.25	21	98.05	89.38	0.48	0.00
true	false	0.25	22	96.58	85.63	0.48	0.00
true	false	0.25	23	96.37	82.50	0.49	0.00
true	false	0.25	24	95.46	83.13	0.46	0.00
true	false	0.25	25	95.05	80.63	0.48	0.00
false	true	0.25	2	95.67	84.38	0.60	0.00
false	false	0.05	1	100.00	85.00	1.06	0.00
false	false	0.05	2	100.00	86.88	0.93	0.00
false	false	0.05	3	100.00	90.00	0.83	0.00
false	false	0.05	4	100.00	86.88	0.82	0.00
false	false	0.05	5	100.00	88.13	0.83	0.00
false	false	0.05	6	100.00	87.50	0.79	0.00
false	false	0.05	7	100.00	88.75	0.74	0.00
false	false	0.05	8	100.00	89.38	0.72	0.00
false	false	0.05	9	100.00	85.00	0.70	0.00
false	false	0.05	10	100.00	86.88	0.68	0.00
false	false	0.05	11	99.79	83.75	0.69	0.00
false	false	0.05	12	99.86	88.13	0.64	0.00
false	false	0.05	13	99.65	84.38	0.59	0.00
false	false	0.05	14	99.23	86.25	0.57	0.00
false	false	0.05	15	99.44	85.00	0.57	0.00
false	false	0.05	16	99.16	85.00	0.56	0.00
false	false	0.05	17	98.46	86.25	0.57	0.00
false	false	0.05	18	98.05	84.38	0.54	0.00
false	false	0.05	19	97.91	85.00	0.54	0.00
false	false	0.05	20	97.49	88.13	0.52	0.00
