numWeights	Invocations	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Optimizer
52	10	14.030612	1.275510	78.4	78.4	78.4	0.0	3.70	Evolver(size=100,keep=50,breeder=ListUniformCrossover,toMutate=10,mutator=SingleWeightMutator)
52	10	71.375831	45.040610	78.4	81.3	85.9	3.6	19.50	Evolver(size=200,keep=50,breeder=ListUniformCrossover,toMutate=10,mutator=SingleWeightMutator)
52	10	36.118530	10.682945	78.4	78.6	79.8	0.4	9.60	Evolver(size=200,keep=100,breeder=ListUniformCrossover,toMutate=10,mutator=SingleWeightMutator)
52	10	138.360085	83.115590	78.4	80.4	86.4	3.1	37.80	Evolver(size=400,keep=100,breeder=ListUniformCrossover,toMutate=10,mutator=SingleWeightMutator)
52	10	76.142132	14.213198	78.4	78.8	79.7	0.5	20.30	Evolver(size=400,keep=200,breeder=ListUniformCrossover,toMutate=10,mutator=SingleWeightMutator)
52	10	15.143802	1.781624	78.4	78.6	80.2	0.6	4.00	Evolver(size=100,keep=50,breeder=ListUniformCrossover,toMutate=50,mutator=SingleWeightMutator)
52	10	94.723926	68.711656	78.4	81.5	86.1	3.7	26.30	Evolver(size=200,keep=50,breeder=ListUniformCrossover,toMutate=50,mutator=SingleWeightMutator)
52	10	43.040876	8.913791	78.4	78.5	79.1	0.2	11.40	Evolver(size=200,keep=100,breeder=ListUniformCrossover,toMutate=50,mutator=SingleWeightMutator)
52	10	127.094452	66.029540	78.4	80.6	86.1	3.0	37.70	Evolver(size=400,keep=100,breeder=ListUniformCrossover,toMutate=50,mutator=SingleWeightMutator)
52	10	110.138307	53.292729	78.4	78.8	79.8	0.4	32.30	Evolver(size=400,keep=200,breeder=ListUniformCrossover,toMutate=50,mutator=SingleWeightMutator)
52	10	848.968105	682.457786	79.3	85.3	87.5	3.1	258.50	Evolver(size=1000,keep=200,breeder=ListUniformCrossover,toMutate=100,mutator=SingleWeightMutator)
102	10	23.821591	7.222504	78.4	78.9	80.7	0.8	7.30	Evolver(size=100,keep=50,breeder=ListUniformCrossover,toMutate=10,mutator=SingleWeightMutator)
102	10	70.114801	45.426491	78.5	81.0	85.5	3.0	22.10	Evolver(size=200,keep=50,breeder=ListUniformCrossover,toMutate=10,mutator=SingleWeightMutator)
102	10	38.520020	13.177902	78.4	78.9	80.2	0.6	11.70	Evolver(size=200,keep=100,breeder=ListUniformCrossover,toMutate=10,mutator=SingleWeightMutator)
102	10	246.293639	198.469632	79.0	83.6	86.8	3.5	80.80	Evolver(size=400,keep=100,breeder=ListUniformCrossover,toMutate=10,mutator=SingleWeightMutator)
102	10	98.100868	44.271161	79.1	79.5	80.7	0.5	36.00	Evolver(size=400,keep=200,breeder=ListUniformCrossover,toMutate=10,mutator=SingleWeightMutator)
102	10	32.465081	14.974204	78.4	79.5	85.3	2.1	13.00	Evolver(size=100,keep=50,breeder=ListUniformCrossover,toMutate=50,mutator=SingleWeightMutator)
102	10	143.009352	109.624719	78.4	84.5	86.1	2.6	60.50	Evolver(size=200,keep=50,breeder=ListUniformCrossover,toMutate=50,mutator=SingleWeightMutator)
102	10	74.008811	41.535557	78.4	79.5	81.9	1.3	29.70	Evolver(size=200,keep=100,breeder=ListUniformCrossover,toMutate=50,mutator=SingleWeightMutator)
102	10	222.515920	159.557852	78.6	83.2	86.6	3.4	93.90	Evolver(size=400,keep=100,breeder=ListUniformCrossover,toMutate=50,mutator=SingleWeightMutator)
102	10	228.656642	170.498322	79.0	80.5	86.4	2.2	75.90	Evolver(size=400,keep=200,breeder=ListUniformCrossover,toMutate=50,mutator=SingleWeightMutator)
102	10	722.281136	589.136326	79.9	84.9	87.5	3.0	239.20	Evolver(size=1000,keep=200,breeder=ListUniformCrossover,toMutate=100,mutator=SingleWeightMutator)
