numWeights	Invocations	NumFitness	AltNumFitness	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Optimizer
52	10	13200	2700	17.532209	3.586134	74.7	75.3	80.5	1.8	7.90	Evolver(size=100,keep=25,breeder=ListSingleCrossover,toMutate=10,mutator=SingleWeightMutator)
52	10	82000	61400	105.425559	78.940602	74.7	77.8	81.4	2.7	49.20	Evolver(size=200,keep=50,breeder=ListSingleCrossover,toMutate=20,mutator=SingleWeightMutator)
52	10	90900	57600	117.639446	74.543807	74.7	77.3	82.7	3.6	48.80	Evolver(size=300,keep=75,breeder=ListSingleCrossover,toMutate=30,mutator=SingleWeightMutator)
52	10	201600	161600	251.779693	201.823405	74.7	80.1	83.2	3.8	116.30	Evolver(size=400,keep=100,breeder=ListSingleCrossover,toMutate=40,mutator=SingleWeightMutator)
52	10	25200	13100	32.757052	17.028467	74.7	76.9	82.6	3.4	14.70	Evolver(size=100,keep=25,breeder=ListUniformCrossover,toMutate=10,mutator=SingleWeightMutator)
52	10	95000	74600	117.428925	92.212608	74.7	80.9	84.0	4.1	55.30	Evolver(size=200,keep=50,breeder=ListUniformCrossover,toMutate=20,mutator=SingleWeightMutator)
52	10	130800	97500	163.479565	121.859768	74.7	80.0	84.7	4.4	75.50	Evolver(size=300,keep=75,breeder=ListUniformCrossover,toMutate=30,mutator=SingleWeightMutator)
52	10	255600	213200	311.100292	259.493671	75.1	82.2	85.6	4.2	152.90	Evolver(size=400,keep=100,breeder=ListUniformCrossover,toMutate=40,mutator=SingleWeightMutator)
52	10	285000	223500	348.368170	273.193986	75.0	81.8	85.0	3.8	217.40	Evolver(size=500,keep=125,breeder=ListUniformCrossover,toMutate=50,mutator=SingleWeightMutator)
52	10	843000	737000	995.865328	870.643828	76.4	84.6	86.3	2.9	594.40	Evolver(size=1000,keep=250,breeder=ListUniformCrossover,toMutate=100,mutator=SingleWeightMutator)
52	10	111200	71200	136.794194	87.587649	74.7	81.3	84.0	2.9	67.20	Evolver(size=400,keep=10,breeder=ListUniformCrossover,toMutate=40,mutator=SingleWeightMutator)
52	10	200800	159600	239.361068	190.249136	81.9	83.9	85.5	1.0	106.30	Evolver(size=400,keep=50,breeder=ListUniformCrossover,toMutate=40,mutator=SingleWeightMutator)
52	10	192000	149200	240.060015	186.546637	74.7	80.0	85.7	5.0	113.90	Evolver(size=400,keep=100,breeder=ListUniformCrossover,toMutate=40,mutator=SingleWeightMutator)
52	10	161600	115200	205.467260	146.471710	74.7	78.7	85.7	4.3	89.10	Evolver(size=400,keep=150,breeder=ListUniformCrossover,toMutate=40,mutator=SingleWeightMutator)
52	10	130000	86800	166.495902	111.168033	74.8	78.1	84.2	3.3	81.40	Evolver(size=400,keep=200,breeder=ListUniformCrossover,toMutate=40,mutator=SingleWeightMutator)
52	10	195200	155200	239.626811	190.522956	75.0	81.5	84.8	4.0	122.70	Evolver(size=400,keep=100,breeder=ListUniformCrossover,toMutate=10,mutator=SingleWeightMutator)
52	10	344400	300400	409.317804	357.024008	76.4	84.1	86.2	2.8	203.10	Evolver(size=400,keep=100,breeder=ListUniformCrossover,toMutate=50,mutator=SingleWeightMutator)
52	10	328000	272800	395.085522	328.595519	74.7	83.0	85.9	4.0	124.60	Evolver(size=400,keep=100,breeder=ListUniformCrossover,toMutate=100,mutator=SingleWeightMutator)
52	10	341200	299200	409.702209	359.269933	75.0	83.3	85.9	3.9	139.40	Evolver(size=400,keep=100,breeder=ListUniformCrossover,toMutate=150,mutator=SingleWeightMutator)
52	10	397600	316000	481.064731	382.335148	75.7	82.7	86.2	4.1	166.40	Evolver(size=400,keep=100,breeder=ListUniformCrossover,toMutate=200,mutator=SingleWeightMutator)
