length	t	Invocations	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Target	Hits	HitsRatio	FitCalcsPerOpt	AltFitCalcsPerOpt	RuntimePerOpt	Optimizer
10	1	165	1.647755	1.382449	10.0	14.8	18.0	3.9	0.00	18.0	100	0.6061	40	34	0.0		HillClimber(neighbor=SingleBitFlipper)
10	1	126	2.155523	1.716570	10.0	16.4	18.0	3.2	0.00	18.0	100	0.7937	44	35	0.0		Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
10	1	113	2.243928	1.941602	10.0	17.1	18.0	2.5	0.00	18.0	100	0.8850	43	38	0.0		Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
10	1	124	2.965854	1.912195	10.0	16.5	18.0	3.0	0.00	18.0	100	0.8065	61	39	0.0		Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
10	1	120	4.036834	1.938776	10.0	16.7	18.0	2.9	0.00	18.0	100	0.8333	81	39	0.0		Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
10	1	127	5.532305	2.093057	10.0	16.3	18.0	3.2	0.00	18.0	100	0.7874	115	43	0.0		Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
10	1	123	6.480330	2.176299	10.0	16.7	18.0	2.8	0.00	18.0	100	0.8130	133	45	0.0		Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
10	1	122	9.009780	2.440587	10.0	16.8	18.0	2.8	0.00	18.0	100	0.8197	184	50	0.0		Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
10	1	111	8.754560	3.170401	10.0	17.3	18.0	2.2	0.00	18.0	100	0.9009	168	61	0.0		Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
10	1	104	6.604965	4.309768	10.0	17.8	18.0	1.0	0.00	18.0	100	0.9615	122	80	0.0		Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
10	1	100	20.765556	20.765556	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	374	374	0.0		Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
10	1	100	18.444444	18.444444	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	332	332	0.0		Evolver(size=100,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
10	1	100	21.388889	21.388889	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	385	385	0.0		Evolver(size=100,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
10	1	100	21.222222	21.222222	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	382	382	0.0		Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
10	1	100	21.555556	21.555556	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	388	388	0.0		Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
10	1	100	27.666667	27.666667	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	498	498	0.0		Evolver(size=200,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
10	1	100	27.777778	27.777778	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	500	500	0.0		Evolver(size=200,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
10	1	100	32.222222	32.222222	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	580	580	0.0		Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
10	1	100	36.888889	36.888889	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	664	664	0.0		Evolver(size=400,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
10	1	100	38.444444	38.444444	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	692	692	0.0		Evolver(size=400,keep=200,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
10	1	100	41.777778	41.777778	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	752	752	0.0		Evolver(size=400,keep=200,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
10	1	100	41.690556	41.690556	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	750	750	0.0		Mimicker(size=100,keep=2)
10	1	100	124.286111	124.286111	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	2237	2237	0.0		Mimicker(size=100,keep=3)
10	1	101	149.860209	144.301596	17.0	18.0	18.0	0.1	0.01	18.0	100	0.9901	2723	2622	0.0		Mimicker(size=100,keep=4)
10	1	106	166.437368	134.542632	16.0	17.9	18.0	0.3	0.00	18.0	100	0.9434	3162	2556	0.0		Mimicker(size=100,keep=5)
10	1	100	30.820000	30.820000	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	555	555	0.0		Mimicker(size=200,keep=2)
10	1	100	73.030000	73.030000	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	1315	1315	0.0		Mimicker(size=200,keep=3)
10	1	100	146.395000	146.395000	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	2635	2635	0.0		Mimicker(size=200,keep=4)
10	1	100	180.118333	180.118333	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	3242	3242	0.0		Mimicker(size=200,keep=5)
10	1	100	37.520000	37.520000	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	675	675	0.0		Mimicker(size=200,keep=2)
10	1	100	82.410000	82.410000	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	1483	1483	0.0		Mimicker(size=200,keep=3)
10	1	100	154.993333	154.993333	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	2790	2790	0.0		Mimicker(size=200,keep=4)
10	1	101	193.916300	182.848018	16.0	18.0	18.0	0.2	0.01	18.0	100	0.9901	3522	3321	0.0		Mimicker(size=200,keep=5)
10	1	100	96.368333	96.368333	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	1735	1735	0.0		Mimicker(size=200,keep=10)
20	2	303	4.079381	3.556186	20.0	25.6	37.0	8.0	0.00	37.0	100	0.3300	317	276	0.0		HillClimber(neighbor=SingleBitFlipper)
20	2	104	3.730423	3.709259	20.0	36.3	37.0	3.3	0.00	37.0	100	0.9615	141	140	0.0		Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
20	2	114	3.847990	3.757538	20.0	34.9	37.0	5.6	0.00	37.0	100	0.8772	153	150	0.0		Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
20	2	111	3.944388	3.888265	20.0	35.3	37.0	5.1	0.00	37.0	100	0.9009	155	152	0.0		Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
20	2	108	3.920725	3.832642	20.0	35.7	37.0	4.5	0.00	37.0	100	0.9259	151	148	0.0		Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
20	2	110	4.122360	4.046625	2.0	35.3	37.0	5.7	0.00	37.0	100	0.9091	160	157	0.0		Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
20	2	110	4.443590	4.182051	20.0	35.5	37.0	4.9	0.00	37.0	100	0.9091	173	163	0.0		Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
20	2	112	5.624365	4.553299	20.0	35.2	37.0	5.3	0.00	37.0	100	0.8929	222	179	0.0		Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
20	2	108	6.470725	4.387824	20.0	35.7	37.0	4.5	0.00	37.0	100	0.9259	250	169	0.0		Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
20	2	109	9.956019	5.270062	20.0	35.7	37.0	4.5	0.00	37.0	100	0.9174	387	205	0.0		Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
20	2	101	22.755299	22.009391	27.0	36.9	37.0	1.0	0.00	37.0	100	0.9901	848	820	0.0		Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
20	2	100	58.648649	58.648649	37.0	37.0	37.0	0.0	0.00	37.0	100	1.0000	2170	2170	0.0		Evolver(size=100,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
20	2	100	112.459459	112.459459	37.0	37.0	37.0	0.0	0.00	37.0	100	1.0000	4161	4161	0.0		Evolver(size=100,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
20	2	100	52.432432	52.432432	37.0	37.0	37.0	0.0	0.00	37.0	100	1.0000	1940	1940	0.0		Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
20	2	100	99.081081	99.081081	37.0	37.0	37.0	0.0	0.00	37.0	100	1.0000	3666	3666	0.0		Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
20	2	100	182.108108	182.108108	37.0	37.0	37.0	0.0	0.00	37.0	100	1.0000	6738	6738	0.0		Evolver(size=200,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
20	2	100	95.729730	95.729730	37.0	37.0	37.0	0.0	0.00	37.0	100	1.0000	3542	3542	0.0		Evolver(size=200,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
20	2	100	85.729730	85.729730	37.0	37.0	37.0	0.0	0.00	37.0	100	1.0000	3172	3172	0.0		Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
20	2	100	140.864865	140.864865	37.0	37.0	37.0	0.0	0.00	37.0	100	1.0000	5212	5212	0.0		Evolver(size=400,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
20	2	100	156.756757	156.756757	37.0	37.0	37.0	0.0	0.00	37.0	100	1.0000	5800	5800	0.0		Evolver(size=400,keep=200,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
20	2	100	308.864865	308.864865	37.0	37.0	37.0	0.0	0.00	37.0	100	1.0000	11428	11428	0.0		Evolver(size=400,keep=200,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
20	2	104	96.805026	86.117196	20.0	36.3	37.0	3.3	0.01	37.0	100	0.9615	3659	3255	0.0		Mimicker(size=100,keep=2)
20	2	104	210.256349	199.568519	20.0	36.3	37.0	3.3	0.02	37.0	100	0.9615	7948	7544	0.0		Mimicker(size=100,keep=3)
20	2	109	343.117412	320.409443	20.0	36.7	37.0	1.7	0.03	37.0	100	0.9174	13735	12826	0.0		Mimicker(size=100,keep=4)
20	2	106	275.835553	260.313012	30.0	36.8	37.0	0.9	0.02	37.0	100	0.9434	10769	10163	0.0		Mimicker(size=100,keep=5)
20	2	100	71.382162	71.382162	37.0	37.0	37.0	0.0	0.00	37.0	100	1.0000	2641	2641	0.0		Mimicker(size=200,keep=2)
20	2	100	151.999459	151.999459	37.0	37.0	37.0	0.0	0.01	37.0	100	1.0000	5624	5624	0.0		Mimicker(size=200,keep=3)
20	2	102	375.007194	364.295763	20.0	36.8	37.0	1.7	0.03	37.0	100	0.9804	14074	13672	0.0		Mimicker(size=200,keep=4)
20	2	104	430.684266	409.670152	20.0	36.8	37.0	1.7	0.03	37.0	100	0.9615	16478	15674	0.0		Mimicker(size=200,keep=5)
20	2	102	77.712834	66.964171	20.0	36.7	37.0	2.4	0.00	37.0	100	0.9804	2906	2504	0.0		Mimicker(size=200,keep=2)
