length	t	Invocations	NumFitness	AltNumFitness	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Target	Hits	HitsRatio	FitCalcsPerOpt	AltFitCalcsPerOpt	RuntimePerOpt	Optimizer
10	1	176	4125	3365	1.611328	1.314453	10.0	14.5	18.0	4.0	0.00	18.0	100	0.5682	41	34	0.0	HillClimber(neighbor=SingleBitFlipper)
10	1	181	5123	4269	1.958333	1.631881	10.0	14.5	18.0	4.0	0.00	18.0	100	0.5525	51	43	0.0	Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
10	1	146	4022	3524	1.771806	1.552423	10.0	15.5	18.0	3.7	0.00	18.0	100	0.6849	40	35	0.0	Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
10	1	144	4107	3592	1.824522	1.595735	10.0	15.6	18.0	3.6	0.00	18.0	100	0.6944	41	36	0.0	Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
10	1	147	4556	3959	1.990389	1.729576	10.0	15.6	18.0	3.6	0.00	18.0	100	0.6803	46	40	0.0	Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
10	1	141	4596	4056	2.064690	1.822102	10.0	15.8	18.0	3.5	0.00	18.0	100	0.7092	46	41	0.0	Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
10	1	136	5111	4625	2.352048	2.128394	10.0	16.0	18.0	3.4	0.00	18.0	100	0.7353	51	46	0.0	Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
10	1	117	4883	4611	2.462431	2.325265	10.0	16.9	18.0	2.6	0.00	18.0	100	0.8547	49	46	0.0	Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
10	1	119	6276	5939	3.117735	2.950323	10.0	16.9	18.0	2.6	0.00	18.0	100	0.8403	63	59	0.0	Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
10	1	108	8951	8385	4.691300	4.394654	10.0	17.7	18.0	1.3	0.00	18.0	100	0.9259	90	84	0.0	Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
10	1	100	38072	38072	21.151111	21.151111	18.0	18.0	18.0	0.0	0.00	18.0	100	1.0000	381	381	0.0	Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
20	2	304	31278	27198	4.020308	3.495887	20.0	25.6	37.0	8.0	0.00	37.0	100	0.3289	313	272	0.0	HillClimber(neighbor=SingleBitFlipper)
20	2	290	29965	26165	3.995333	3.488667	20.0	25.9	37.0	8.1	0.00	37.0	100	0.3448	300	262	0.0	Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
20	2	334	36900	32220	4.403341	3.844869	20.0	25.1	37.0	7.8	0.00	37.0	100	0.2994	369	322	0.0	Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
20	2	266	28766	25446	4.097721	3.624786	20.0	26.4	37.0	8.2	0.00	37.0	100	0.3759	288	254	0.0	Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
20	2	267	29533	26105	4.192051	3.705465	20.0	26.4	37.0	8.2	0.00	37.0	100	0.3745	295	261	0.0	Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
20	2	231	26119	23319	4.124270	3.682141	20.0	27.4	37.0	8.4	0.00	37.0	100	0.4329	261	233	0.0	Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
20	2	256	30667	26931	4.471712	3.926947	20.0	26.8	37.0	8.2	0.00	37.0	100	0.3906	307	269	0.0	Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
20	2	207	24911	22277	4.251749	3.802185	20.0	28.3	37.0	8.4	0.00	37.0	100	0.4831	249	223	0.0	Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
20	2	170	22607	20671	4.411983	4.034153	20.0	30.1	37.0	8.3	0.00	37.0	100	0.5882	226	207	0.0	Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
20	2	132	23062	21265	5.268906	4.858350	20.0	33.2	37.0	6.9	0.00	37.0	100	0.7576	231	213	0.0	Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
20	2	100	82425	82425	22.277027	22.277027	37.0	37.0	37.0	0.0	0.00	37.0	100	1.0000	824	824	0.0	Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
30	3	521	123340	110710	6.765771	6.072957	30.0	35.0	56.0	10.2	0.00	56.0	100	0.1919	1233	1107	0.0	HillClimber(neighbor=SingleBitFlipper)
30	3	641	155185	138955	7.108795	6.365323	30.0	34.1	56.0	9.4	0.00	56.0	100	0.1560	1552	1390	0.0	Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
30	3	568	138935	124679	7.072643	6.346925	30.0	34.6	56.0	9.9	0.00	56.0	100	0.1761	1389	1247	0.0	Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
30	3	462	111100	100015	6.746827	6.073662	30.0	35.6	56.0	10.7	0.00	56.0	100	0.2165	1111	1000	0.0	Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
30	3	571	140952	126594	7.142235	6.414695	30.0	34.6	56.0	9.9	0.00	56.0	100	0.1751	1410	1266	0.0	Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
30	3	567	140991	126829	7.188284	6.466249	30.0	34.6	56.0	9.9	0.00	56.0	100	0.1764	1410	1268	0.0	Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
30	3	548	138433	124413	7.264917	6.529152	30.0	34.8	56.0	10.0	0.00	56.0	100	0.1825	1384	1244	0.0	Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
30	3	408	107626	98216	7.247542	6.613872	30.0	36.4	56.0	11.2	0.00	56.0	100	0.2451	1076	982	0.0	Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
30	3	349	96867	88648	7.400642	6.772710	30.0	37.5	56.0	11.8	0.00	56.0	100	0.2865	969	886	0.0	Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
30	3	233	74704	69404	7.767103	7.216053	30.0	41.3	56.0	12.8	0.00	56.0	100	0.4292	747	694	0.0	Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
30	3	107	108371	105642	18.566216	18.098681	30.0	54.6	56.0	5.6	0.00	56.0	100	0.9346	1084	1056	0.0	Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
40	4	1174	488224	445264	9.675466	8.824098	40.0	43.0	75.0	9.8	0.00	75.0	100	0.0852	4882	4453	0.0	HillClimber(neighbor=SingleBitFlipper)
40	4	996	418329	382489	9.652261	8.825311	40.0	43.5	75.0	10.5	0.00	75.0	100	0.1004	4183	3825	0.0	Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
40	4	1048	442661	404741	9.745949	8.911074	40.0	43.3	75.0	10.3	0.00	75.0	100	0.0954	4427	4047	0.0	Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
40	4	961	410553	376113	9.789056	8.967883	40.0	43.6	75.0	10.7	0.00	75.0	100	0.1041	4106	3761	0.0	Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
40	4	1201	515742	471256	10.005665	9.142613	40.0	42.9	75.0	9.7	0.00	75.0	100	0.0833	5157	4713	0.0	Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
