bits	Invocations	NumFitness	AltNumFitness	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Target	Hits	HitsRatio	FitCalcsPerOpt	AltFitCalcsPerOpt	RuntimePerOpt	Optimizer
10	50	884	884	1.768	1.768	10	10	10	0	0	10	50	1	18	18	0	HillClimber(neighbor=SingleBitFlipper)
10	50	984	984	1.968	1.968	10	10	10	0	0	10	50	1	20	20	0	Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
10	50	985	985	1.97	1.97	10	10	10	0	0	10	50	1	20	20	0	Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
10	50	1084	1084	2.168	2.168	10	10	10	0	0	10	50	1	22	22	0	Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
10	50	1243	1243	2.486	2.486	10	10	10	0	0	10	50	1	25	25	0	Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
10	50	1403	1403	2.806	2.806	10	10	10	0	0	10	50	1	28	28	0	Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
10	50	1568	1568	3.136	3.136	10	10	10	0	0	10	50	1	31	31	0	Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
10	50	1923	1923	3.846	3.846	10	10	10	0	0	10	50	1	38	38	0	Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
10	50	2532	2532	5.064	5.064	10	10	10	0	0	10	50	1	51	51	0	Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
10	50	4383	4383	8.766	8.766	10	10	10	0	0	10	50	1	88	88	0	Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
10	50	26240	26240	52.48	52.48	10	10	10	0	0	10	50	1	525	525	0	Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
10	50	17500	17500	35	35	10	10	10	0	0	10	50	1	350	350	0	Evolver(size=100,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
10	50	21200	21200	42.4	42.4	10	10	10	0	0	10	50	1	424	424	0	Evolver(size=100,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
10	50	20600	20600	41.2	41.2	10	10	10	0	0	10	50	1	412	412	0	Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
10	50	21600	21600	43.2	43.2	10	10	10	0	0	10	50	1	432	432	0	Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
10	50	32000	32000	64	64	10	10	10	0	0	10	50	1	640	640	0	Evolver(size=200,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
10	50	27800	27800	55.6	55.6	10	10	10	0	0	10	50	1	556	556	0	Evolver(size=200,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
10	50	36400	36400	72.8	72.8	10	10	10	0	0	10	50	1	728	728	0	Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
10	50	37600	37600	75.2	75.2	10	10	10	0	0	10	50	1	752	752	0	Evolver(size=400,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
10	50	54000	54000	108	108	10	10	10	0	0	10	50	1	1080	1080	0	Evolver(size=400,keep=200,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
10	50	58400	58400	116.8	116.8	10	10	10	0	0	10	50	1	1168	1168	0	Evolver(size=400,keep=200,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
10	50	29949	29949	59.898	59.898	10	10	10	0	0	10	50	1	599	599	0	Mimicker(size=200,keep=2)
10	51	89445	69345	175.726916	136.237721	9	10	10	0.1	0	10	50	0.9804	1789	1387	0	Mimicker(size=200,keep=4)
10	50	25527	25527	51.054	51.054	10	10	10	0	0	10	50	1	511	511	0	Mimicker(size=200,keep=6)
10	50	42105	42105	84.21	84.21	10	10	10	0	0	10	50	1	842	842	0	Mimicker(size=400,keep=2)
10	50	54536	54536	109.072	109.072	10	10	10	0	0	10	50	1	1091	1091	0	Mimicker(size=400,keep=4)
10	50	60551	60551	121.102	121.102	10	10	10	0	0	10	50	1	1211	1211	0	Mimicker(size=400,keep=6)
10	50	26733	26733	53.466	53.466	10	10	10	0	0	10	50	1	535	535	0	Mimicker(size=200,keep=1)
20	50	2212	2212	2.212	2.212	20	20	20	0	0	20	50	1	44	44	0	HillClimber(neighbor=SingleBitFlipper)
20	50	2383	2383	2.383	2.383	20	20	20	0	0	20	50	1	48	48	0	Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
20	50	2445	2445	2.445	2.445	20	20	20	0	0	20	50	1	49	49	0	Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
20	50	2463	2463	2.463	2.463	20	20	20	0	0	20	50	1	49	49	0	Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
20	50	2416	2416	2.416	2.416	20	20	20	0	0	20	50	1	48	48	0	Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
20	50	2620	2620	2.62	2.62	20	20	20	0	0	20	50	1	52	52	0	Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
20	50	2956	2956	2.956	2.956	20	20	20	0	0	20	50	1	59	59	0	Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
20	50	3154	3154	3.154	3.154	20	20	20	0	0	20	50	1	63	63	0	Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
20	50	3732	3732	3.732	3.732	20	20	20	0	0	20	50	1	75	75	0	Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
20	50	6046	6046	6.046	6.046	20	20	20	0	0	20	50	1	121	121	0	Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
20	50	45464	45464	45.464	45.464	20	20	20	0	0	20	50	1	909	909	0	Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
20	50	39400	39400	39.4	39.4	20	20	20	0	0	20	50	1	788	788	0	Evolver(size=100,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
20	50	58700	58700	58.7	58.7	20	20	20	0	0	20	50	1	1174	1174	0	Evolver(size=100,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
20	50	44000	44000	44	44	20	20	20	0	0	20	50	1	880	880	0	Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
20	50	57200	57200	57.2	57.2	20	20	20	0	0	20	50	1	1144	1144	0	Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
20	50	92800	92800	92.8	92.8	20	20	20	0	0	20	50	1	1856	1856	0	Evolver(size=200,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
20	50	69200	69200	69.2	69.2	20	20	20	0	0	20	50	1	1384	1384	0	Evolver(size=200,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
