size	desc	Invocations	NumFitness	AltNumFitness	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Optimizer
80	50%/uniform	50	400900	349900	0.810979	0.707811	9601.0	9886.8	10057.0	104.6	0.16	Evolver(size=100,keep=25,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
80	50%/uniform	50	729800	623600	1.469937	1.256032	9674.0	9929.7	10063.0	101.7	0.30	Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=20,mutator=SingleBitMutator)
80	50%/uniform	50	1071300	914100	2.152601	1.836733	9656.0	9953.5	10063.0	88.3	0.50	Evolver(size=300,keep=75,breeder=SingleCrossover,toMutate=30,mutator=SingleBitMutator)
80	50%/uniform	50	1371600	1171600	2.754554	2.352899	9808.0	9958.8	10057.0	70.3	0.58	Evolver(size=400,keep=100,breeder=SingleCrossover,toMutate=40,mutator=SingleBitMutator)
80	50%/uniform	50	308600	257900	0.623966	0.521455	9640.0	9891.6	10063.0	98.5	0.14	Evolver(size=100,keep=25,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	50%/uniform	50	567000	466400	1.138520	0.936518	9800.0	9960.3	10063.0	68.2	0.26	Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=20,mutator=SingleBitMutator)
80	50%/uniform	50	822900	664200	1.649697	1.331545	9789.0	9976.4	10063.0	69.2	0.38	Evolver(size=300,keep=75,breeder=UniformCrossover,toMutate=30,mutator=SingleBitMutator)
80	50%/uniform	50	1139200	932000	2.279307	1.864742	9811.0	9996.0	10063.0	53.6	0.56	Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=40,mutator=SingleBitMutator)
80	50%/uniform	50	1305500	1043500	2.615451	2.090558	9816.0	9983.0	10057.0	59.1	0.60	Evolver(size=500,keep=125,breeder=UniformCrossover,toMutate=50,mutator=SingleBitMutator)
80	50%/uniform	50	2530000	2003000	5.051029	3.998898	9921.0	10017.8	10063.0	34.5	1.26	Evolver(size=1000,keep=250,breeder=UniformCrossover,toMutate=100,mutator=SingleBitMutator)
80	50%/uniform	50	810800	610800	1.630942	1.228638	9793.0	9942.7	10057.0	79.0	0.32	Evolver(size=400,keep=10,breeder=UniformCrossover,toMutate=40,mutator=SingleBitMutator)
80	50%/uniform	50	866400	666400	1.735420	1.334816	9865.0	9984.9	10063.0	57.3	0.36	Evolver(size=400,keep=50,breeder=UniformCrossover,toMutate=40,mutator=SingleBitMutator)
80	50%/uniform	50	1060400	850800	2.125199	1.705130	9766.0	9979.3	10063.0	74.2	0.50	Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=40,mutator=SingleBitMutator)
80	50%/uniform	50	1411200	1191200	2.821717	2.381824	9815.0	10002.4	10063.0	52.3	0.70	Evolver(size=400,keep=150,breeder=UniformCrossover,toMutate=40,mutator=SingleBitMutator)
80	50%/uniform	50	1558400	1336800	3.134668	2.688927	9202.0	9943.0	10063.0	184.1	0.76	Evolver(size=400,keep=200,breeder=UniformCrossover,toMutate=40,mutator=SingleBitMutator)
80	50%/uniform	50	952400	752400	1.908962	1.508088	9808.0	9978.2	10063.0	61.9	0.48	Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
80	50%/uniform	50	1059200	854400	2.121939	1.711655	9796.0	9983.3	10063.0	64.7	0.50	Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=50,mutator=SingleBitMutator)
