size	desc	Invocations	NumFitness	AltNumFitness	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Optimizer
80	50%/uniform	100	54190	46190	0.054914	0.046807	9612.0	9868.1	10063.0	106.8	0.01	HillClimber(neighbor=SingleBitFlipper)
80	50%/uniform	100	55717	47717	0.056346	0.048256	9672.0	9888.3	10057.0	105.6	0.01	Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
80	50%/uniform	100	60157	52157	0.060904	0.052805	9632.0	9877.3	10049.0	116.1	0.01	Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
80	50%/uniform	100	56310	48310	0.056972	0.048878	9613.0	9883.8	10063.0	102.0	0.00	Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
80	50%/uniform	100	56104	48104	0.056865	0.048756	9619.0	9866.2	10049.0	100.3	0.00	Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
80	50%/uniform	100	54228	46228	0.054888	0.046791	9625.0	9879.7	10049.0	100.3	0.00	Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
80	50%/uniform	100	58322	50322	0.058928	0.050845	9640.0	9897.1	10057.0	86.7	0.01	Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
80	50%/uniform	100	55049	47049	0.055824	0.047712	9622.0	9861.1	10042.0	102.8	0.01	Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
80	50%/uniform	100	59490	51490	0.060113	0.052030	9665.0	9896.3	10063.0	102.7	0.01	Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
80	50%/uniform	100	60830	52117	0.061409	0.052613	9627.0	9905.7	10057.0	97.8	0.01	Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
80	50%/uniform	100	215208	169299	0.215334	0.169398	9823.0	9994.2	10063.0	55.9	0.05	Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
80	full/uniform	100	60094	52094	0.033384	0.028939	17707.0	18001.1	18192.0	105.7	0.00	HillClimber(neighbor=SingleBitFlipper)
80	full/uniform	100	59454	51454	0.033063	0.028614	17764.0	17981.8	18192.0	95.5	0.01	Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
80	full/uniform	100	58969	50969	0.032795	0.028346	17667.0	17980.9	18187.0	117.4	0.00	Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
80	full/uniform	100	57436	49436	0.031960	0.027509	17698.0	17971.1	18187.0	118.2	0.00	Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
