bits	Invocations	FitnessCost	AltFitnessCost	MinFitness	MeanFitness	MaxFitness	StdDevFitness	AvgRuntime	Target	Hits	HitsRatio	FitCalcsPerOpt	AltFitCalcsPerOpt	RuntimePerOpt	Optimizer
50	100	2.862800	2.862800	50.0	50.0	50.0	0.0	0.00	50.0	100	1.0000	143	143	0.0		HillClimber(neighbor=SingleBitFlipper)
50	100	2.896600	2.896600	50.0	50.0	50.0	0.0	0.00	50.0	100	1.0000	145	145	0.0		Annealer(temp=1000.0,cooling=0.1,neighbor=SingleBitFlipper,its=14.000000000000002)
50	100	3.057200	3.057200	50.0	50.0	50.0	0.0	0.00	50.0	100	1.0000	153	153	0.0		Annealer(temp=1000.0,cooling=0.2,neighbor=SingleBitFlipper,its=20.029471813027506)
50	100	3.147200	3.147200	50.0	50.0	50.0	0.0	0.00	50.0	100	1.0000	157	157	0.0		Annealer(temp=1000.0,cooling=0.3,neighbor=SingleBitFlipper,its=26.774850051504778)
50	100	3.012800	3.012800	50.0	50.0	50.0	0.0	0.00	50.0	100	1.0000	151	151	0.0		Annealer(temp=1000.0,cooling=0.4,neighbor=SingleBitFlipper,its=35.181182326248845)
50	100	3.137200	3.137200	50.0	50.0	50.0	0.0	0.00	50.0	100	1.0000	157	157	0.0		Annealer(temp=1000.0,cooling=0.5,neighbor=SingleBitFlipper,its=46.50699332842308)
50	100	3.215600	3.215600	50.0	50.0	50.0	0.0	0.00	50.0	100	1.0000	161	161	0.0		Annealer(temp=1000.0,cooling=0.6,neighbor=SingleBitFlipper,its=63.106057727213866)
50	100	3.297000	3.297000	50.0	50.0	50.0	0.0	0.00	50.0	100	1.0000	165	165	0.0		Annealer(temp=1000.0,cooling=0.7,neighbor=SingleBitFlipper,its=90.37974730138035)
50	100	3.551600	3.551600	50.0	50.0	50.0	0.0	0.00	50.0	100	1.0000	178	178	0.0		Annealer(temp=1000.0,cooling=0.8,neighbor=SingleBitFlipper,its=144.4639162192264)
50	100	4.320600	4.320600	50.0	50.0	50.0	0.0	0.00	50.0	100	1.0000	216	216	0.0		Annealer(temp=1000.0,cooling=0.9,neighbor=SingleBitFlipper,its=305.96083457495973)
50	100	24.234600	24.234600	50.0	50.0	50.0	0.0	0.00	50.0	100	1.0000	1212	1212	0.0		Annealer(temp=1000.0,cooling=0.99,neighbor=SingleBitFlipper,its=3207.4740358737195)
50	100	34.280000	34.280000	50.0	50.0	50.0	0.0	0.01	50.0	100	1.0000	1714	1714	0.0		Evolver(size=100,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
50	100	66.720000	66.720000	50.0	50.0	50.0	0.0	0.01	50.0	100	1.0000	3336	3336	0.0		Evolver(size=100,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
50	100	35.920000	35.920000	50.0	50.0	50.0	0.0	0.01	50.0	100	1.0000	1796	1796	0.0		Evolver(size=200,keep=50,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
50	100	61.280000	61.280000	50.0	50.0	50.0	0.0	0.01	50.0	100	1.0000	3064	3064	0.0		Evolver(size=200,keep=50,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
50	100	105.600000	105.600000	50.0	50.0	50.0	0.0	0.02	50.0	100	1.0000	5280	5280	0.0		Evolver(size=200,keep=100,breeder=SingleCrossover,toMutate=10,mutator=SingleBitMutator)
50	100	61.320000	61.320000	50.0	50.0	50.0	0.0	0.01	50.0	100	1.0000	3066	3066	0.0		Evolver(size=200,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
50	100	68.880000	68.880000	50.0	50.0	50.0	0.0	0.02	50.0	100	1.0000	3444	3444	0.0		Evolver(size=400,keep=100,breeder=UniformCrossover,toMutate=10,mutator=SingleBitMutator)
